Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
calibration model: 14056*mpx^-0.952,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
400,398,-0.5,359.28,-10.181,398.09,-0.4769
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,362.29,-9.4273,401.27,0.3181
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,358.88,-10.2811,397.69,-0.5787
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,362.29,-9.4273,401.27,0.3181
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,356.53,-10.8682,395.19,-1.2019
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,362.29,-9.4273,401.27,0.3181
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,362.29,-9.4273,401.27,0.3181
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,356.53,-10.8682,395.19,-1.2019
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,356.45,-10.8874,395.13,-1.2184
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,398,-0.5,359.53,-10.1175,398.36,-0.4099
400,397,-0.75,359.53,-10.1175,398.36,-0.4099
