Beginning Pixel Size Calibration Test...
-----------------------------------------
Marker Size: 44.5mm
True Dist [mm], Pixel Size [px]
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 23.52
700.00, 24.05
700.00, 23.52
700.00, 24.05
700.00, 23.52
700.00, 23.52
700.00, 23.79
700.00, 23.79
700.00, 23.29
700.00, 23.79
700.00, 24.05
700.00, 23.79
700.00, 24.05
700.00, 23.79
700.00, 24.05
700.00, 23.79
700.00, 23.52
700.00, 23.52
700.00, 24.05
700.00, 23.79
700.00, 23.29
700.00, 23.79
700.00, 23.29
700.00, 23.52
700.00, 23.52
700.00, 24.05
700.00, 23.79
700.00, 23.29
700.00, 23.79
700.00, 23.52
700.00, 24.05
700.00, 24.05
700.00, 23.29
700.00, 23.52
700.00, 23.29
700.00, 23.79
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 23.52
700.00, 23.79
700.00, 24.05
700.00, 24.05
700.00, 24.05
700.00, 23.29
700.00, 24.05
700.00, 23.79
700.00, 24.05
700.00, 23.52
700.00, 24.05
700.00, 23.82
700.00, 23.52
700.00, 23.79
700.00, 23.82
700.00, 23.52
700.00, 24.05
700.00, 24.05
800.00, 20.56
800.00, 20.79
800.00, 20.60
800.00, 20.02
800.00, 20.29
800.00, 20.83
800.00, 20.29
800.00, 20.83
800.00, 20.29
800.00, 20.83
800.00, 20.10
800.00, 20.83
800.00, 20.60
800.00, 20.06
800.00, 20.06
800.00, 20.02
800.00, 20.29
800.00, 20.83
800.00, 21.06
800.00, 20.54
800.00, 20.02
800.00, 21.10
800.00, 20.83
800.00, 20.02
800.00, 20.29
800.00, 20.56
800.00, 20.33
800.00, 20.83
800.00, 20.29
800.00, 20.06
800.00, 20.29
800.00, 20.06
800.00, 20.52
800.00, 20.29
800.00, 20.54
800.00, 20.79
800.00, 20.06
800.00, 20.83
800.00, 20.02
800.00, 20.56
800.00, 20.10
800.00, 20.56
800.00, 20.10
800.00, 20.02
800.00, 20.83
800.00, 20.02
800.00, 20.29
800.00, 20.79
800.00, 20.29
800.00, 19.79
800.00, 21.06
800.00, 20.56
800.00, 20.29
800.00, 21.06
800.00, 20.56
800.00, 20.02
800.00, 20.06
800.00, 20.06
800.00, 20.06
800.00, 20.56
800.00, 20.56
800.00, 20.79
800.00, 20.02
800.00, 20.29
800.00, 20.83
800.00, 20.52
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.02
800.00, 20.79
800.00, 20.56
800.00, 20.56
800.00, 20.83
800.00, 20.83
800.00, 20.79
800.00, 20.56
800.00, 20.56
800.00, 20.02
800.00, 20.56
800.00, 20.79
800.00, 20.02
800.00, 20.56
800.00, 20.56
800.00, 20.79
800.00, 20.56
800.00, 20.02
800.00, 20.56
800.00, 20.56
800.00, 21.57
800.00, 20.56
800.00, 20.56
800.00, 20.02
800.00, 20.83
800.00, 20.56
800.00, 20.56
800.00, 20.83
800.00, 20.83
800.00, 21.06
900.00, 18.53
900.00, 18.53
900.00, 17.80
900.00, 18.53
900.00, 18.53
900.00, 18.30
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.30
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 19.04
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 17.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.30
900.00, 19.04
900.00, 18.30
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 17.53
900.00, 18.53
900.00, 18.30
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.82
900.00, 18.53
900.00, 18.53
900.00, 18.53
900.00, 18.27
900.00, 18.30
900.00, 18.27
900.00, 18.03
900.00, 18.30
900.00, 18.03
900.00, 18.27
900.00, 18.03
900.00, 18.27
900.00, 18.03
900.00, 18.27
900.00, 18.03
1000.00, 16.08
1000.00, 16.08
1000.00, 16.03
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.03
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.03
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.03
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1000.00, 16.08
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.81
1100.00, 14.81
1100.00, 14.81
1100.00, 14.81
1100.00, 14.53
1100.00, 14.53
1100.00, 14.81
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.81
1100.00, 14.53
1100.00, 14.81
1100.00, 14.81
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.81
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.81
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.00
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.81
1100.00, 14.53
1100.00, 14.78
1100.00, 14.81
1100.00, 14.81
1100.00, 14.81
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
1100.00, 14.81
1100.00, 14.53
1100.00, 14.53
1100.00, 14.78
1100.00, 14.78
1100.00, 14.78
1100.00, 14.53
1100.00, 14.53
1100.00, 14.78
1100.00, 14.28
1100.00, 14.28
1100.00, 14.53
1100.00, 14.53
1100.00, 14.28
1100.00, 15.03
1100.00, 14.78
1100.00, 14.52
1100.00, 14.78
1100.00, 14.52
1100.00, 14.78
1100.00, 14.52
1100.00, 14.28
1100.00, 14.52
1100.00, 14.53
1100.00, 14.53
1100.00, 14.53
