Beginning Pixel Size Calibration Test...
-----------------------------------------
aruco_approx_dist.py, test_case=4
Marker Size: 45mm
-----------------------------------------
True Dist [mm], Pixel Size [px]
-----------------------------------------
700.00, 23.40
700.00, 23.40
700.00, 23.40
700.00, 23.40
700.00, 24.14
700.00, 23.40
700.00, 23.40
700.00, 24.14
700.00, 23.79
700.00, 23.76
700.00, 23.40
700.00, 23.40
700.00, 24.14
700.00, 23.40
700.00, 23.40
700.00, 23.76
700.00, 23.76
700.00, 24.12
700.00, 23.76
700.00, 24.14
700.00, 23.76
700.00, 23.40
700.00, 23.40
700.00, 23.40
700.00, 23.76
700.00, 23.40
700.00, 23.76
700.00, 23.76
700.00, 23.76
700.00, 23.76
700.00, 24.09
700.00, 23.76
700.00, 23.76
700.00, 23.40
700.00, 23.76
700.00, 23.76
700.00, 23.40
700.00, 23.76
700.00, 23.40
700.00, 24.12
700.00, 23.40
700.00, 23.76
700.00, 23.40
700.00, 23.40
700.00, 23.76
700.00, 23.76
700.00, 23.40
700.00, 23.76
700.00, 24.12
700.00, 23.76
700.00, 23.40
700.00, 23.40
700.00, 24.12
700.00, 23.40
700.00, 23.40
700.00, 24.12
700.00, 24.12
700.00, 23.40
700.00, 23.76
700.00, 24.12
700.00, 24.12
700.00, 23.40
700.00, 24.14
700.00, 23.76
700.00, 23.40
700.00, 23.76
700.00, 23.40
700.00, 23.79
700.00, 23.40
700.00, 23.40
700.00, 24.14
700.00, 23.76
700.00, 23.76
700.00, 24.12
700.00, 23.76
700.00, 24.12
700.00, 24.12
700.00, 23.76
700.00, 23.79
700.00, 24.12
700.00, 23.76
700.00, 23.76
700.00, 24.12
700.00, 23.76
700.00, 24.12
700.00, 23.40
700.00, 24.12
800.00, 20.56
800.00, 20.23
800.00, 20.23
800.00, 20.56
800.00, 20.56
800.00, 20.89
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.23
800.00, 20.56
800.00, 20.23
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.23
800.00, 19.97
800.00, 20.23
800.00, 20.56
800.00, 20.56
800.00, 20.23
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.23
800.00, 20.56
800.00, 20.91
800.00, 20.56
800.00, 20.56
800.00, 20.54
800.00, 19.97
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 19.97
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 19.92
800.00, 20.56
800.00, 20.28
800.00, 19.97
800.00, 20.56
800.00, 20.28
800.00, 20.23
800.00, 20.56
800.00, 19.97
800.00, 20.56
800.00, 20.56
800.00, 19.97
800.00, 20.56
800.00, 20.23
800.00, 20.56
800.00, 20.56
800.00, 20.54
800.00, 20.56
800.00, 20.23
800.00, 20.56
800.00, 20.28
800.00, 20.56
800.00, 19.97
800.00, 20.56
800.00, 20.56
800.00, 19.97
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.23
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.28
800.00, 20.56
800.00, 20.56
800.00, 20.23
800.00, 20.23
800.00, 20.28
800.00, 20.56
800.00, 20.56
800.00, 19.97
800.00, 20.56
800.00, 20.56
800.00, 20.56
800.00, 20.54
800.00, 20.23
800.00, 19.97
800.00, 20.56
800.00, 20.56
800.00, 19.92
800.00, 19.97
800.00, 20.56
800.00, 19.92
800.00, 20.28
800.00, 19.97
800.00, 19.97
900.00, 17.83
900.00, 18.09
900.00, 18.13
900.00, 17.74
900.00, 17.81
900.00, 17.78
900.00, 18.09
900.00, 17.87
900.00, 17.83
900.00, 18.09
900.00, 18.13
900.00, 17.83
900.00, 17.81
900.00, 18.09
900.00, 17.81
900.00, 17.87
900.00, 17.83
900.00, 17.83
900.00, 17.81
900.00, 18.13
900.00, 17.87
900.00, 17.81
900.00, 17.81
900.00, 18.09
900.00, 18.13
900.00, 17.81
900.00, 18.09
900.00, 17.81
900.00, 18.09
900.00, 17.87
900.00, 18.09
900.00, 18.09
900.00, 18.13
900.00, 17.83
900.00, 17.81
900.00, 18.13
900.00, 18.09
900.00, 18.13
900.00, 18.13
900.00, 18.09
900.00, 18.13
900.00, 18.13
900.00, 18.09
900.00, 18.13
900.00, 17.87
900.00, 18.13
900.00, 17.87
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 18.09
900.00, 18.09
900.00, 18.13
900.00, 17.74
900.00, 18.13
900.00, 18.13
900.00, 17.87
900.00, 18.13
900.00, 18.13
900.00, 17.83
900.00, 17.81
900.00, 18.09
900.00, 18.13
900.00, 18.09
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 18.13
900.00, 18.13
