RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\aruco_approx_dist.py
24/9/18
marker size 38.5mm
ID | Loc [px] | Dist [mm] | ~Dist [mm] | Error_d [%] | Heading [px]
-------------------------------------------------------------------
1   (414, 99)     669.00      668.01           0.15         94
1   (414, 98)     670.00      690.78           3.10         94
1   (289, 99)     692.00      651.74           5.82        -31
1   (289, 97)     693.00      659.36           4.85        -31
1   (289, 91)     693.00      667.16           3.73        -31
1   (293, 93)     683.00      683.48           0.07        -27
1   (293, 95)     682.00      676.20           0.85        -27
1   (293, 99)     680.00      649.06           4.55        -27
1   (293,101)     678.00      666.04           1.76        -27
1   (293,104)     676.00      659.11           2.50        -27
1   (420, 97)     661.00      669.64           1.31        100
1   (293,107)     677.00      676.20           0.12        -27
1   (421,100)     660.00      659.21           0.12        101
1   (421,103)     658.00      659.21           0.18        101
1   (293,110)     676.00      658.70           2.56        -27
1   (293,113)     674.00      642.86           4.62        -27
1   (421,107)     655.00      658.79           0.58        101
1   (421,110)     656.00      658.62           0.40        101
1   (293,116)     671.00      612.65           8.70        -27
1   (293,120)     673.00      658.70           2.13        -27
1   (421,113)     653.00      647.88           0.78        101
1   (293,123)     672.00      667.77           0.63        -27
1   (352, 91)     668.00      636.03           4.79         32
1   (421,117)     651.00      637.86           2.02        101
1   (421,121)     650.00      648.25           0.27        101
1   (293,126)     671.00      642.46           4.25        -27
1   (353, 95)     666.00      621.10           6.74         33
1   (353, 98)     666.00      628.39           5.65         33
1   (293,129)     671.00      642.86           4.19        -27
1   (421,124)     649.00      637.86           1.72        101
1   (422,127)     646.00      638.38           1.18        102
1   (293,133)     669.00      625.89           6.44        -27
1   (422,131)     646.00      628.31           2.74        102
1   (293,136)     667.00      625.89           6.16        -27
1   (353,105)     665.00      652.12           1.94         33
1   (423,133)     645.00      637.50           1.16        103
1   (353,107)     663.00      620.73           6.37         33
1   (423,136)     642.00      627.49           2.26        103
1   (293,142)     666.00      635.21           4.62        -27
1   (423,139)     640.00      609.23           4.81        103
1   (292,144)     665.00      605.85           8.90        -28
1   (354,113)     656.00      606.84           7.49         34
1   (423,143)     636.00      628.13           1.24        103
1   (354,116)     655.00      613.80           6.29         34
1   (292,147)     661.00      635.38           3.88        -28
1   (423,145)     637.00      628.83           1.28        103
1   (354,118)     652.00      621.29           4.71         34
1   (423,148)     634.00      628.13           0.93        103
1   (292,151)     658.00      598.74           9.01        -28
1   (354,120)     650.00      593.06           8.76         34
1   (292, 94)     672.00      680.16           1.21        -28
1   (423,150)     632.00      618.39           2.15        103
1   (354,123)     648.00      606.84           6.35         34
1   (292,154)     651.00      619.91           4.78        -28
1   (292, 95)     671.00      666.89           0.61        -28
1   (354,124)     648.00      606.84           6.35         34
1   (292,156)     650.00      635.36           2.25        -28
1   (423,152)     630.00      619.05           1.74        103
1   (292, 97)     669.00      635.01           5.08        -28
1   (424,157)     627.00      619.23           1.24        104
1   (354,128)     645.00      621.27           3.68         34
1   (291,159)     649.00      606.00           6.63        -29
1   (291,100)     664.00      646.29           2.67        -29
1   (354,130)     644.00      621.28           3.53         34
1   (424,158)     627.00      600.08           4.29        104
1   (291,161)     648.00      612.96           5.41        -29
1   (291,101)     660.00      635.53           3.71        -29
1   (354,131)     642.00      599.72           6.59         34
1   (290,162)     645.00      605.82           6.07        -30
1   (424,160)     624.00      609.74           2.29        104
1   (291,103)     658.00      624.42           5.10        -29
1   (354,133)     634.00      606.83           4.29         34
1   (290,164)     640.00      605.82           5.34        -30
1   (425,163)     620.00      600.87           3.09        105
1   (291,104)     658.00      624.42           5.10        -29
1   (426,167)     614.00      609.84           0.68        106
1   (354,138)     628.00      593.06           5.56         34
1   (290,169)     633.00      599.36           5.31        -30
1   (291,108)     651.00      623.01           4.30        -29
1   (354,140)     626.00      593.06           5.26         34
1   (290,170)     629.00      592.40           5.82        -30
1   (426,169)     611.00      601.09           1.62        106
