----------------------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
      5,      50.0,     19.91,    848.73,    -2.56729,    -147.095,          2.844
      5,      50.0,     19.50,    872.87,    -2.31917,    -132.879,          2.786
      5,      50.0,     19.08,    885.26,    -2.20355,    -126.254,          2.725
      5,      50.0,     24.94,    681.64,    -1.10715,     -63.435,          3.562
      5,      50.0,     36.51,    470.76,    -2.21430,    -126.870,          5.216
      5,      50.0,     20.62,    826.45,    -2.45928,    -140.906,          2.945
      5,      50.0,     19.39,    870.79,    -2.10252,    -120.466,          2.770
      5,      50.0,     20.18,    853.51,    -2.39066,    -136.975,          2.883
      5,      50.0,     20.13,    839.58,    -2.52693,    -144.783,          2.875
      5,      50.0,     19.64,    859.20,    -2.58299,    -147.995,          2.806
      5,      50.0,     19.88,    856.29,    -2.25311,    -129.094,          2.840
      5,      50.0,     19.56,    863.16,    -2.14510,    -122.905,          2.795
      5,      50.0,     24.83,    684.32,    -1.07145,     -61.390,          3.547
      5,      50.0,     35.94,    478.82,    -2.17455,    -124.592,          5.134
      5,      50.0,     19.14,    882.04,    -2.05770,    -117.897,          2.734
      5,      50.0,     19.56,    863.16,    -2.14510,    -122.905,          2.795
      5,      50.0,     20.62,    825.54,    -2.48875,    -142.595,          2.946
      5,      50.0,     20.36,    829.95,    -2.45928,    -140.906,          2.908
      5,      50.0,     20.51,    840.10,    -2.35619,    -135.000,          2.929
      5,      50.0,     19.56,    862.57,    -2.53931,    -145.492,          2.795
      5,      50.0,     20.31,    838.10,    -2.22364,    -127.405,          2.902
      5,      50.0,     25.06,    678.05,    -1.07145,     -61.390,          3.580
      5,      50.0,     35.44,    485.85,    -2.12629,    -121.828,          5.062
      5,      50.0,     19.83,    850.89,    -2.53931,    -145.492,          2.833
      5,      50.0,     19.24,    877.47,    -2.05770,    -117.897,          2.748
      5,      50.0,     20.54,    838.36,    -2.28963,    -131.186,          2.934
      5,      50.0,     20.54,    828.63,    -2.42276,    -138.814,          2.934
      5,      50.0,     20.59,    820.58,    -2.45928,    -140.906,          2.941
      5,      50.0,     20.40,    834.33,    -2.18546,    -125.218,          2.915
      5,      50.0,     19.48,    866.89,    -2.07789,    -119.055,          2.783
      5,      50.0,     25.13,    676.27,    -1.03709,     -59.421,          3.589
      5,      50.0,     35.86,    480.39,    -2.13537,    -122.348,          5.123
      5,      50.0,     19.71,    856.14,    -2.53931,    -145.492,          2.816
      5,      50.0,     19.48,    867.17,    -2.10252,    -120.466,          2.783
      5,      50.0,     20.55,    827.58,    -2.42276,    -138.814,          2.936
      5,      50.0,     20.27,    833.39,    -2.45928,    -140.906,          2.896
      5,      50.0,     20.55,    837.61,    -2.28963,    -131.186,          2.936
      5,      50.0,     20.06,    848.81,    -2.18546,    -125.218,          2.865
      5,      50.0,     18.79,    898.26,    -2.01064,    -115.201,          2.684
      5,      50.0,     25.39,    669.07,    -1.00407,     -57.529,          3.627
      5,      50.0,     36.37,    473.67,    -2.09686,    -120.141,          5.196
      5,      50.0,     19.46,    867.11,    -2.05770,    -117.897,          2.780
      5,      50.0,     20.59,    835.42,    -2.28963,    -131.186,          2.941
      5,      50.0,     19.92,    847.91,    -2.45928,    -140.906,          2.846
      5,      50.0,     20.20,    841.98,    -2.35619,    -135.000,          2.885
