= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Alpha [px/bit]
      5,      38.5,     13.67,    952.10,     0.46365,          2.733
      5,      38.5,     13.34,    975.62,     0.46365,          2.667
      5,      38.5,     13.34,    975.62,     0.46365,          2.667
      5,      38.5,     13.34,    975.62,     0.46365,          2.667
      5,      38.5,     13.34,    975.62,     0.46365,          2.667
      5,      38.5,     13.34,    975.62,     0.46365,          2.667
      5,      38.5,     13.34,    975.62,     0.46365,          2.667
      5,      38.5,     13.34,    975.62,     0.46365,          2.667
      5,      38.5,     13.34,    975.62,     0.46365,          2.667
      5,      38.5,     13.16,    988.31,     0.46365,          2.633
      5,      38.5,     13.16,    988.31,     0.46365,          2.633
      5,      38.5,     13.16,    988.31,     0.46365,          2.633
      5,      38.5,     13.16,    988.30,     0.43241,          2.633
      5,      38.5,     13.34,    975.45,     0.46365,          2.667
      5,      38.5,     13.34,    975.45,     0.46365,          2.667
      5,      38.5,     13.34,    975.45,     0.46365,          2.667
      5,      38.5,     13.87,    938.11,     0.43241,          2.773
      5,      38.5,     13.67,    951.94,     0.43241,          2.733
      5,      38.5,     13.67,    951.94,     0.43241,          2.733
      5,      38.5,     13.67,    951.94,     0.43241,          2.733
      5,      38.5,     13.67,    951.94,     0.43241,          2.733
      5,      38.5,     13.67,    951.94,     0.43241,          2.733
      5,      38.5,     14.00,    929.53,     0.43241,          2.799
      5,      38.5,     13.67,    951.94,     0.43241,          2.733
      5,      38.5,     14.00,    929.53,     0.43241,          2.799
      5,      38.5,     14.00,    929.53,     0.43241,          2.799
      5,      38.5,     13.67,    951.94,     0.43241,          2.733
      5,      38.5,     13.87,    937.95,     0.46365,          2.773
      5,      38.5,     13.54,    960.78,     0.46365,          2.708
      5,      38.5,     13.54,    960.78,     0.46365,          2.708
      5,      38.5,     13.54,    960.78,     0.46365,          2.708
      5,      38.5,     13.21,    984.53,     0.46365,          2.642
      5,      38.5,     13.00,   1000.52,     0.39479,          2.600
      5,      38.5,     13.00,   1000.52,     0.39479,          2.600
      5,      38.5,     13.21,    984.32,     0.49935,          2.642
      5,      38.5,     13.54,    960.63,     0.46365,          2.708
      5,      38.5,     13.87,    937.81,     0.46365,          2.773
      5,      38.5,     13.87,    937.81,     0.46365,          2.773
      5,      38.5,     13.87,    937.81,     0.46365,          2.773
      5,      38.5,     13.87,    937.81,     0.46365,          2.773
      5,      38.5,     13.87,    937.81,     0.46365,          2.773
      5,      38.5,     14.10,    922.46,     0.49394,          2.820
      5,      38.5,     14.10,    922.46,     0.49394,          2.820
      5,      38.5,     14.10,    922.46,     0.49394,          2.820
      5,      38.5,     14.10,    922.46,     0.49394,          2.820
      5,      38.5,     13.99,    929.47,     0.49394,          2.798
      5,      38.5,     13.99,    929.34,     0.52807,          2.798
      5,      38.5,     13.99,    929.34,     0.52807,          2.798
      5,      38.5,     13.76,    944.92,     0.52807,          2.752
      5,      38.5,     13.42,    969.17,     0.46365,          2.683
      5,      38.5,     13.22,    983.63,     0.49935,          2.644
      5,      38.5,     12.97,   1002.29,     0.49935,          2.595
      5,      38.5,     13.31,    976.51,     0.52807,          2.663
