D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py,,,,,,
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
5,30,13.02,778.6,0.36717,21.038,2.604
5,30,13.48,751.71,0.43241,24.775,2.697
5,30,13.05,775.94,0.2268,12.995,2.61
5,30,12.95,781.82,0.15265,8.746,2.591
5,30,13.15,770.13,0.15265,8.746,2.631
5,30,13.17,770.14,0.16515,9.462,2.634
5,30,12.6,805.44,0.15265,8.746,2.519
5,30,13.02,777.64,0.07677,4.399,2.604
5,30,13.04,776.44,0.07677,4.399,2.608
5,30,13.02,777.59,0,0,2.604
5,30,13.28,762.48,0.07677,4.399,2.656
5,30,12.52,808.79,0,0,2.504
5,30,13,779.19,0,0,2.6
5,30,12.54,807.08,0.07677,4.399,2.508
5,30,12.26,826.41,0.08314,4.764,2.452
5,30,12.52,815.52,0.08314,4.764,2.504
5,30,12.28,831.12,0.08314,4.764,2.456
5,30,12.32,823.8,0.16515,9.462,2.464
5,30,12.66,799.7,0.15265,8.746,2.532
5,30,12.17,832.21,0.16515,9.462,2.433
5,30,12.27,825.33,0.24498,14.036,2.454
5,30,11.97,845.94,0.24498,14.036,2.394
5,30,12.34,821.12,0.32175,18.435,2.469
5,30,12.11,839.21,0.46365,26.565,2.422
5,30,12.1,843.16,0.54042,30.964,2.419
5,30,11.94,851.93,0.61073,34.992,2.388
5,30,12.21,832.84,0.61073,34.992,2.441
5,30,12.23,831.44,0.66104,37.875,2.445
5,30,12.28,827.75,0.54042,30.964,2.456
5,30,12.23,831.22,0.67474,38.66,2.445
5,30,11.76,864.02,0.72664,41.634,2.353
5,30,11.46,887.11,0.66104,37.875,2.291
5,30,12.16,836.59,0.61073,34.992,2.431
5,30,12.11,839.94,0.67474,38.66,2.423
5,30,12.11,839.94,0.67474,38.66,2.423
5,30,12.1,840.14,0.66104,37.875,2.421
5,30,11.76,864.02,0.61073,34.992,2.353
5,30,11.4,891.63,0.66104,37.875,2.28
5,30,12.04,844.25,0.72664,41.634,2.408
5,30,12.04,844.02,0.72664,41.634,2.408
5,30,11.73,868.26,0.84415,48.367,2.346
5,30,12.47,817.89,0.84415,48.367,2.493
5,30,12.51,815.66,0.90975,52.125,2.503
5,30,12.21,836.14,0.96007,55.008,2.441
5,30,11.87,859.91,1.03038,59.036,2.374
5,30,11.59,880.54,1.03038,59.036,2.317
5,30,11.76,867.36,1.07145,61.39,2.352
5,30,12.02,848.23,1.03038,59.036,2.403
5,30,12.12,841.15,1.03038,59.036,2.423
5,30,12.44,818.98,1.00407,57.529,2.488
5,30,12.2,834.73,1.14417,65.556,2.44
5,30,11.66,873.05,1.03038,59.036,2.332
5,30,11.86,857.65,1.10715,63.435,2.373
5,30,11.63,874.77,1.10715,63.435,2.326
5,30,11.98,848.99,1.03038,59.036,2.396
5,30,12.2,832.14,1.03038,59.036,2.44
5,30,11.97,848.08,1.07145,61.39,2.394
5,30,12.08,840.08,1.14417,65.556,2.417
5,30,11.9,853.38,1.10715,63.435,2.379
5,30,12.03,844.31,1.32582,75.964,2.406
5,30,11.4,890.92,1.30454,74.745,2.28
5,30,11.48,884.92,1.39094,79.695,2.296
5,30,11.78,862.37,1.32582,75.964,2.356
5,30,12.27,827.81,1.41815,81.254,2.454
5,30,12.17,834.58,1.40565,80.538,2.433
5,30,12.66,801.84,1.41815,81.254,2.532
5,30,12.38,820.03,1.41815,81.254,2.476
5,30,11.54,880.44,1.48766,85.236,2.309
5,30,12.04,844.02,1.48766,85.236,2.408
5,30,12.32,824.83,1.48766,85.236,2.464
5,30,11.82,859.59,1.48766,85.236,2.365
5,30,11.89,855.38,1.48766,85.236,2.378
5,30,12.27,828.91,1.32582,75.964,2.454
5,30,12.51,812.39,1.24905,71.565,2.502
5,30,12.2,833.24,1.24905,71.565,2.439
5,30,12.04,844.46,1.22203,70.017,2.407
5,30,11.89,854.5,1.14417,65.556,2.379
5,30,12.08,841.36,1.14417,65.556,2.417
5,30,12.11,839.55,1.14417,65.556,2.422
5,30,12.02,846.86,1.03038,59.036,2.403
5,30,12.28,828.95,0.96007,55.008,2.456
5,30,11.87,858.37,0.96007,55.008,2.374
5,30,12.11,841.9,0.90975,52.125,2.423
5,30,12.07,844.78,0.84415,48.367,2.415
5,30,11.74,868.61,0.96007,55.008,2.348
5,30,12.03,847.1,0.84415,48.367,2.406
5,30,12.09,841.68,0.61073,34.992,2.419
